"location_id";"state";"district";"market"
"75f9976ed5135d5f66c84167397ae9fd";"UNKNOWN";"GURDASPUR";"UNKNOWN"
"42f19bf3ce6b8ce9d5bdaf1ae6615c5c";"WEST BENGAL";"MURSHIDABAD";"JANGIPUR"
"13504dbcda3659f714838d4e7d19235c";"DELHI";"UNKNOWN";"SHAHDARA"
"6f98da83deec092b67db6f1a6c0d948d";"HARYANA";"UNKNOWN";"SAMPLA"
"5bd79f68a5a2d5ef7984c5096c643502";"PUNJAB";"LUDHIANA";"LUDHIANA"
"de271ea42947beace49e14305000621d";"UNKNOWN";"UNKNOWN";"LASALGAON"
"0802bf1f9b9119ff92eeec7e9b1b496f";"RAJASTHAN";"CHURU";"CHURU"
"3c33b9874ac49dc64d0d79743e2fd599";"WEST BENGAL";"HOOGHLY";"PANDUA"
"6b767a24d91c023b2be60c9c80c7e326";"UNKNOWN";"PRATAPGARH";"PRATAPGARH"
"79b745e53b4195e8b8e39ed7590c445a";"RAJASTHAN";"BHARATPUR";"BAYANA"
"5cfd0664706fb29b3a2358b6c687e30d";"MADHYA PRADESH";"GUNA";"GUNA(F&V)"
"a3a85619633c351edb50614ddc46acfb";"MADHYA PRADESH";"UNKNOWN";"GAUTAMPURA"
"2742fff0efb38bf9e43e401fcc896065";"UNKNOWN";"FAZILKA";"UNKNOWN"
"dbb033bc37982ac9e1bc4f64a751fbb4";"UTTAR PRADESH";"UNKNOWN";"MEERUT"
"beca54c3ecfd53755585c6d72907264d";"WEST BENGAL";"BIRBHUM";"BOLPUR"
"6638b4029d8f6c423280ef986c870483";"UNKNOWN";"KHANDWA";"UNKNOWN"
"106d7cecd215f02f84742e94c9847698";"KERALA";"KOTTAYAM";"KOTTAYAM"
"6353d8cb628df03377cd5a9d8c972301";"HARYANA";"SONIPAT";"SONEPAT"
"906d522c87a97855a9341513d8bf3856";"HARYANA";"GURGAON";"SOHNA"
"ae2eb8f8f0b2988b8d6be32281dae59a";"PUNJAB";"UNKNOWN";"KOT ISE KHAN"
"8909273e7e251f4d05daf58c9e1b8cc4";"NAN";"FATEHPUR";"KHAGA"
"18315cb6364596984b2d25c1aae1cd6a";"KERALA";"ALAPPUZHA";"KAYAMKULAM"
"03de53676043a6164c74bcdece37c1c7";"HARYANA";"MEWAT";"TAURU"
"4d74adf2ed95cf9f72a4a3b23a87931e";"MAHARASHTRA";"UNKNOWN";"UNKNOWN"
"ddc033d886bca26b818939ce6b179812";"UTTAR PRADESH";"LUCKNOW";"UNKNOWN"
"a6458d4f3329ca9b2958b83104023aa1";"HARYANA";"UNKNOWN";"UNKNOWN"
"98b2ed0d0982972a16a0dc40620d8adf";"GUJARAT";"UNKNOWN";"UNKNOWN"
"58b4af61a9eee40470fc5880d8a2bdad";"ASSAM";"UNKNOWN";"LAKHIMPUR"
"b7e0a75ef0a1a6a9566b986551f90c60";"WEST BENGAL";"UNKNOWN";"RANAGHAT"
"8d7952078c8da65dabdd7287e8e29039";"UTTAR PRADESH";"UNNAO";"BANGARMAU"
"181f7d7191834ee9b1616d8a3d16168c";"UNKNOWN";"KOLKATA";"BARA BAZAR (POSTA BAZAR)"
"94e915b61da168e767fc9a24d62fd21a";"UTTAR PRADESH";"BULANDSHAHAR";"UNKNOWN"
